1.0,6642,error
1.0,0,error
1.0,0,error
1.0,59052,error
1.0,6561,error
1.0,0,error
1.0,27,error
2.0,3,error
1.0,6642,error
1.0,59049,error
1.0,0,error
1.0,9,error
1.0,6561,error
1.0,0,error
1.0,3,error
1.0,19683,error
1.0,729,error
1.0,59049,error
1.0,729,error
1.0,6651,error
1.0,0,error
1.0,59049,error
3.0,3
4.0,0,error
4.0,0,error
4.0,90,error
4.0,6561,error
1.0,27,error
5.0,0,error
1.0,0,error
1.0,27,error
1.0,0,error
1.0,65610,error
1.0,3,error
1.0,59778,error
4.0,6561,error
1.0,61236,error
1.0,3,error
1.0,0,error
5.0,0,error
1.0,9,error
1.0,81,error
1.0,0,error
3.0,59049,error
1.0,90,error
1.0,6561,error
1.0,810,error
1.0,3,error
1.0,2187,error
1.0,0,error
1.0,9,error
1.0,6561,error
1.0,6561,error
1.0,3,error
1.0,6564,error
1.0,0,error
1.0,6561,error
1.0,6561,error
1.0,27,error
1.0,243,error
1.0,0,error
1.0,6642,error
1.0,30,error
1.0,243,error
1.0,27,error
3.0,6561,error
1.0,972,error
1.0,0,error
1.0,27,error
1.0,729,error
1.0,27,error
1.0,3,error
1.0,0,error
1.0,729,error
1.0,27,error
1.0,6561,error
1.0,3,error
3.0,0,error
1.0,0,error
1.0,0,error
3.0,19710,error
1.0,3,error
1.0,0,error
1.0,729,error
1.0,810,error
1.0,0,error
1.0,0,error
1.0,0,error
1.0,0,error
5.0,19683,error
1.0,756,error
1.0,0,error
1.0,19710,error
6.0,0,error
1.0,0,error
1.0,759,error
1.0,27,error
7.0,4,error
1.0,729,error
1.0,27,error
8.0,0,error
9.0,19683,error
10.0,27,error
10.0,19683,error
8.0,27,error
10.0,756,error
11.0,19683,error
